Correlativo;Tipo_bano;Variante;Fecha;Proceso;T_Espera_min;T_Real_min;T_Real_Acumulado_min;TT;Cumple_TT;Diferencia_TT_min;Porcentaje_TT;Operario_1;Operario_2;Operario_3;T_Real_horas;T_Espera_horas;T_Real_Acumulado_horas;Diferencia_TT_horas
77;77-B1-B6;B6;2025-04-23;CERÁMICA LADO TINA/RECEPTÁCULO;0.0;124.53;759.08;60;False;64.53;207.56;SN;DS;;2.08;0.0;12.65;1.08
77;77-B1-B6;B6;2025-04-24;CERÁMICA LADO PUERTA;0.0;105.63;864.72;60;False;45.63;176.06;DS;;;1.76;0.0;14.41;0.76
77;77-B1-B6;B6;2025-04-24;CERÁMICA LADO WC;0.0;85.85;950.57;60;False;25.85;143.08;DS;;;1.43;0.0;15.84;0.43
77;77-B1-B6;B6;2025-04-24;FRAGÜE;53.78;78.65;1029.22;60;False;18.65;131.08;DS;;;1.31;0.9;17.15;0.31
77;77-B1-B6;B6;2025-04-24;RED ALC + PRUEBA;35.0;92.58;1121.8;60;False;32.58;154.31;JC;;;1.54;0.58;18.7;0.54
77;77-B1-B6;B6;2025-04-25;MURO SPC;0.0;33.77;1155.57;60;True;-26.23;56.28;SN;;;0.56;0.0;19.26;-0.44
77;77-B1-B6;B6;2025-04-25;CANALIZACIÓN ELÉCTRICA CIELO Y ALAMBRADO;0.0;75.13;1230.7;60;False;15.13;125.22;MC;;;1.25;0.0;20.51;0.25
77;77-B1-B6;B6;2025-04-25;MONTAJE DE CIELO;35.0;32.8;1263.5;60;True;-27.2;54.67;SN;;;0.55;0.58;21.06;-0.45
77;77-B1-B6;B6;2025-04-25;CENEFA Y CORNISAS;40.0;33.6;1297.1;60;True;-26.4;56.0;AF;;;0.56;0.67;21.62;-0.44
77;77-B1-B6;B6;2025-04-25;ACCESORIOS ELÉCTRICOS;0.0;40.8;1337.9;60;True;-19.2;68.0;MC;;;0.68;0.0;22.3;-0.32
77;77-B1-B6;B6;2025-04-25;PUERTA Y CERRADURA;0.0;89.92;1427.82;60;False;29.92;149.86;AF;;;1.5;0.0;23.8;0.5
77;77-B1-B6;B6;2025-04-25;AISLACIÓN EXTERIOR;0.0;88.77;1516.58;60;False;28.77;147.94;CA;;;1.48;0.0;25.28;0.48
77;77-B1-B6;B6;2025-04-25;ZÓCALOS Y FALDÓN;20.0;41.53;1558.12;60;True;-18.47;69.22;SN;;;0.69;0.33;25.97;-0.31
77;77-B1-B6;B6;2025-04-28;PILASTRAS + TOPE + ÁNGULO;0.0;37.93;1596.05;60;True;-22.07;63.22;RH;;;0.63;0.0;26.6;-0.37
77;77-B1-B6;B6;2025-04-28;REV. EXTERIOR + SALIDA SVC;0.0;93.87;1689.92;60;False;33.87;156.44;CA;DS;;1.56;0.0;28.17;0.56
77;77-B1-B6;B6;2025-04-28;ARTEFACTOS SANITARIOS;0.0;64.88;1754.8;60;False;4.88;108.14;JC;;;1.08;0.0;29.25;0.08
77;77-B1-B6;B6;2025-04-28;ACCESORIOS DE BAÑO;0.0;8.57;1763.37;30;True;-21.43;28.56;PH;;;0.14;0.0;29.39;-0.36
77;77-B1-B6;B6;2025-04-28;TERCIADO CIELO;0.0;47.63;1811.0;30;False;17.63;158.78;JCO;;;0.79;0.0;30.18;0.29
77;77-B1-B6;B6;2025-04-28;FUNCIONALIDAD;0.0;47.58;1858.58;40;False;7.58;118.96;JC;;;0.79;0.0;30.98;0.13
77;77-B1-B6;B6;2025-04-29;ARTEFACTOS ELÉCTRICOS;0.0;57.77;1916.35;30;False;27.77;192.56;MC;;;0.96;0.0;31.94;0.46
77;77-B1-B6;B6;2025-04-29;ASEO;0.0;53.6;1969.95;60;True;-6.4;89.33;DS;;;0.89;0.0;32.83;-0.11
77;77-B1-B6;B6;2025-04-29;SELLO EXTERIOR + ESPUMA;0.0;41.53;2011.48;40;False;1.53;103.83;JA;;;0.69;0.0;33.52;0.03
79;79-B2-B1E;B1E;2025-04-22;ARMADO TABIQUES 1;0.0;56.83;56.83;20;False;36.83;284.17;JCO;;;0.95;0.0;0.95;0.61
79;79-B2-B1E;B1E;2025-04-22;ARMADO TABIQUES 2;0.0;14.3;71.13;20;True;-5.7;71.5;JCO;;;0.24;0.0;1.19;-0.09
79;79-B2-B1E;B1E;2025-04-22;ARMADO TABIQUES 3;0.0;22.93;94.07;20;False;2.93;114.67;JCO;;;0.38;0.0;1.57;0.05
79;79-B2-B1E;B1E;2025-04-22;ARMADO TABIQUES 4;0.0;35.25;129.32;20;False;15.25;176.25;JCO;;;0.59;0.0;2.16;0.25
79;79-B2-B1E;B1E;2025-04-22;ARMADO TABIQUES 5;0.0;24.92;154.23;20;False;4.92;124.58;JCO;;;0.42;0.0;2.57;0.08
79;79-B2-B1E;B1E;2025-04-22;ARMADO TABIQUES 6;0.0;18.27;172.5;20;True;-1.73;91.33;JCO;;;0.3;0.0;2.88;-0.03
79;79-B2-B1E;B1E;2025-04-22;ARMADO JAULAS;0.0;68.7;241.2;60;False;8.7;114.5;SN;CA;;1.14;0.0;4.02;0.15
79;79-B2-B1E;B1E;2025-04-22;REVESTIMIENTO DE MUROS;0.0;32.92;274.12;60;True;-27.08;54.86;SN;;;0.55;0.0;4.57;-0.45
79;79-B2-B1E;B1E;2025-04-23;CANALIZACIÓN ELÉCTRICA;0.0;53.38;327.5;60;True;-6.62;88.97;MC;;;0.89;0.0;5.46;-0.11
79;79-B2-B1E;B1E;2025-04-23;RED AGUA POTABLE;0.0;99.48;426.98;60;False;39.48;165.81;JC;;;1.66;0.0;7.12;0.66
79;79-B2-B1E;B1E;2025-04-23;TRATAMIENTO UNIONES;0.0;38.93;465.92;60;True;-21.07;64.89;JA;;;0.65;0.0;7.77;-0.35
79;79-B2-B1E;B1E;2025-04-23;REFUERZOS;0.0;79.7;545.62;60;False;19.7;132.83;JCO;;;1.33;0.0;9.09;0.33
79;79-B2-B1E;B1E;2025-04-23;PAVIMENTO SPC;0.0;38.53;584.15;60;True;-21.47;64.22;SN;;;0.64;0.0;9.74;-0.36
79;79-B2-B1E;B1E;2025-04-23;INSTALACIÖN DE TINA/RECEPTÁCULO;0.0;61.83;645.98;60;False;1.83;103.06;AF;;;1.03;0.0;10.77;0.03
79;79-B2-B1E;B1E;2025-04-23;CERÁMICA LADO TINA/RECEPTÁCULO;0.0;46.72;692.7;60;True;-13.28;77.86;CA;;;0.78;0.0;11.54;-0.22
79;79-B2-B1E;B1E;2025-04-24;CERÁMICA LADO PUERTA;0.0;83.08;775.78;60;False;23.08;138.47;SN;CA;;1.38;0.0;12.93;0.38
79;79-B2-B1E;B1E;2025-04-24;CERÁMICA LADO WC;0.0;47.73;823.52;60;True;-12.27;79.56;SN;CA;;0.8;0.0;13.73;-0.2
79;79-B2-B1E;B1E;2025-04-24;MURO SPC;0.0;52.53;876.05;60;True;-7.47;87.56;SN;;;0.88;0.0;14.6;-0.12
79;79-B2-B1E;B1E;2025-04-24;FRAGÜE;0.0;71.7;947.75;60;False;11.7;119.5;PH;;;1.2;0.0;15.8;0.2
79;79-B2-B1E;B1E;2025-04-24;RED ALC + PRUEBA;0.0;46.45;994.2;60;True;-13.55;77.42;JC;;;0.77;0.0;16.57;-0.23
79;79-B2-B1E;B1E;2025-04-24;MONTAJE DE CIELO;0.0;47.93;1042.13;60;True;-12.07;79.89;CA;;;0.8;0.0;17.37;-0.2
79;79-B2-B1E;B1E;2025-04-24;CANALIZACIÓN ELÉCTRICA CIELO Y ALAMBRADO;0.0;86.67;1128.8;60;False;26.67;144.44;MC;;;1.44;0.0;18.81;0.44
79;79-B2-B1E;B1E;2025-04-24;CENEFA Y CORNISAS;0.0;56.2;1185.0;60;True;-3.8;93.67;AF;;;0.94;0.0;19.75;-0.06
79;79-B2-B1E;B1E;2025-04-24;ACCESORIOS ELÉCTRICOS;0.0;34.07;1219.07;60;True;-25.93;56.78;MC;;;0.57;0.0;20.32;-0.43
79;79-B2-B1E;B1E;2025-04-24;PUERTA Y CERRADURA;0.0;57.93;1277.0;60;True;-2.07;96.56;JA;;;0.97;0.0;21.28;-0.03
79;79-B2-B1E;B1E;2025-04-24;AISLACIÓN EXTERIOR;0.0;62.75;1339.75;60;False;2.75;104.58;CA;;;1.05;0.0;22.33;0.05
79;79-B2-B1E;B1E;2025-04-24;ZÓCALOS Y FALDÓN;20.0;41.53;1381.28;60;True;-18.47;69.22;SN;;;0.69;0.33;23.02;-0.31
79;79-B2-B1E;B1E;2025-04-28;PILASTRAS + TOPE + ÁNGULO;0.0;45.12;1426.4;60;True;-14.88;75.19;RH;;;0.75;0.0;23.77;-0.25
79;79-B2-B1E;B1E;2025-04-28;REV. EXTERIOR + SALIDA SVC;0.0;83.53;1509.93;60;False;23.53;139.22;CA;DS;;1.39;0.0;25.17;0.39
79;79-B2-B1E;B1E;2025-04-28;ARTEFACTOS SANITARIOS;0.0;70.28;1580.22;60;False;10.28;117.14;JC;;;1.17;0.0;26.34;0.17
79;79-B2-B1E;B1E;2025-04-28;ACCESORIOS DE BAÑO;0.0;9.6;1589.82;30;True;-20.4;32.0;PH;;;0.16;0.0;26.5;-0.34
79;79-B2-B1E;B1E;2025-04-28;ARTEFACTOS ELÉCTRICOS;0.0;49.88;1639.7;30;False;19.88;166.28;MC;;;0.83;0.0;27.33;0.33
79;79-B2-B1E;B1E;2025-04-28;TERCIADO CIELO;0.0;45.58;1685.28;30;False;15.58;151.94;AF;;;0.76;0.0;28.09;0.26
79;79-B2-B1E;B1E;2025-04-28;FUNCIONALIDAD;0.0;62.9;1748.18;40;False;22.9;157.25;JC;;;1.05;0.0;29.14;0.38
79;79-B2-B1E;B1E;2025-04-29;ASEO;0.0;56.65;1804.83;60;True;-3.35;94.42;DS;;;0.94;0.0;30.08;-0.06
79;79-B2-B1E;B1E;2025-04-29;SELLO EXTERIOR + ESPUMA;0.0;38.93;1843.77;40;True;-1.07;97.33;JA;;;0.65;0.0;30.73;-0.02
80;80-B2-B2b;B2b;2025-05-09;ARMADO TABIQUES 1;0.0;32.47;32.47;20;False;12.47;162.33;JCO;;;0.54;0.0;0.54;0.21
80;80-B2-B2b;B2b;2025-05-09;ARMADO TABIQUES 2;0.0;57.68;90.15;20;False;37.68;288.42;CA;;;0.96;0.0;1.5;0.63
80;80-B2-B2b;B2b;2025-05-09;ARMADO TABIQUES 3;0.0;24.35;114.5;20;False;4.35;121.75;JCO;;;0.41;0.0;1.91;0.07
80;80-B2-B2b;B2b;2025-05-09;ARMADO TABIQUES 4;0.0;35.47;149.97;20;False;15.47;177.33;CA;;;0.59;0.0;2.5;0.26
80;80-B2-B2b;B2b;2025-05-12;ARMADO JAULAS;0.0;86.37;236.33;60;False;26.37;143.94;CA;;;1.44;0.0;3.94;0.44
80;80-B2-B2b;B2b;2025-05-13;REVESTIMIENTO DE MUROS;0.0;160.22;396.55;60;False;100.22;267.03;SN;;;2.67;0.0;6.61;1.67
80;80-B2-B2b;B2b;2025-05-13;RED AGUA POTABLE;0.0;79.13;475.68;60;False;19.13;131.89;JC;;;1.32;0.0;7.93;0.32
80;80-B2-B2b;B2b;2025-05-13;CANALIZACIÓN ELÉCTRICA;0.0;33.97;509.65;60;True;-26.03;56.61;MC;;;0.57;0.0;8.49;-0.43
80;80-B2-B2b;B2b;2025-05-13;TRATAMIENTO UNIONES;0.0;30.52;540.17;60;True;-29.48;50.86;JA;;;0.51;0.0;9.0;-0.49
80;80-B2-B2b;B2b;2025-05-13;REFUERZOS;0.0;82.88;623.05;60;False;22.88;138.14;JCO;;;1.38;0.0;10.38;0.38
80;80-B2-B2b;B2b;2025-05-13;PAVIMENTO SPC;0.0;40.32;663.37;60;True;-19.68;67.19;DS;;;0.67;0.0;11.06;-0.33
80;80-B2-B2b;B2b;2025-05-13;INSTALACIÖN DE TINA/RECEPTÁCULO;0.0;56.15;719.52;60;True;-3.85;93.58;AF;;;0.94;0.0;11.99;-0.06
80;80-B2-B2b;B2b;2025-05-27;RED ALC + PRUEBA;0.0;40.35;759.87;60;True;-19.65;67.25;JC;;;0.67;0.0;12.66;-0.33
80;80-B2-B2b;B2b;2025-05-27;AISLACIÓN EXTERIOR;0.0;61.7;821.57;60;False;1.7;102.83;SN;;;1.03;0.0;13.69;0.03
80;80-B2-B2b;B2b;2025-05-27;FRAGÜE;0.0;88.7;910.27;60;False;28.7;147.83;DS;;;1.48;0.0;15.17;0.48
80;80-B2-B2b;B2b;2025-05-27;MONTAJE DE CIELO;0.0;55.3;965.57;60;True;-4.7;92.17;AF;;;0.92;0.0;16.09;-0.08
80;80-B2-B2b;B2b;2025-05-27;CANALIZACIÓN ELÉCTRICA CIELO Y ALAMBRADO;0.0;75.98;1041.55;60;False;15.98;126.64;MC;;;1.27;0.0;17.36;0.27
80;80-B2-B2b;B2b;2025-05-27;CENEFA Y CORNISAS;0.0;58.75;1100.3;60;True;-1.25;97.92;AF;;;0.98;0.0;18.34;-0.02
80;80-B2-B2b;B2b;2025-05-27;ACCESORIOS ELÉCTRICOS;0.0;27.67;1127.97;60;True;-32.33;46.11;MC;;;0.46;0.0;18.8;-0.54
80;80-B2-B2b;B2b;2025-05-27;PUERTA Y CERRADURA;0.0;68.08;1196.05;60;False;8.08;113.47;AF;;;1.13;0.0;19.93;0.13
80;80-B2-B2b;B2b;2025-05-27;ZÓCALOS Y FALDÓN;0.0;32.38;1228.43;60;True;-27.62;53.97;SN;;;0.54;0.0;20.47;-0.46
80;80-B2-B2b;B2b;2025-05-27;ARTEFACTOS SANITARIOS;0.0;82.22;1310.65;60;False;22.22;137.03;JC;;;1.37;0.0;21.84;0.37
80;80-B2-B2b;B2b;2025-05-27;ACCESORIOS DE BAÑO;0.0;3.7;1314.35;30;True;-26.3;12.33;MC;;;0.06;0.0;21.91;-0.44
80;80-B2-B2b;B2b;2025-05-27;REV. EXTERIOR + SALIDA SVC;0.0;141.7;1456.05;60;False;81.7;236.17;JCO;;;2.36;0.0;24.27;1.36
80;80-B2-B2b;B2b;2025-05-28;ARTEFACTOS ELÉCTRICOS;0.0;35.67;1491.72;30;False;5.67;118.89;MC;;;0.59;0.0;24.86;0.09
80;80-B2-B2b;B2b;2025-05-28;TERCIADO CIELO;0.0;44.38;1536.1;30;False;14.38;147.94;JCO;;;0.74;0.0;25.6;0.24
80;80-B2-B2b;B2b;2025-05-28;FUNCIONALIDAD;0.0;21.53;1557.63;40;True;-18.47;53.83;JC;;;0.36;0.0;25.96;-0.31
80;80-B2-B2b;B2b;2025-05-30;ASEO;0.0;52.63;1610.27;60;True;-7.37;87.72;PH;;;0.88;0.0;26.84;-0.12
80;80-B2-B2b;B2b;2025-06-02;INST. MAMPARA;0.0;51.38;1661.65;60;True;-8.62;85.64;RH;;;0.86;0.0;27.69;-0.14
83;83-B2-B2E;B2E;2025-04-22;ARMADO TABIQUES 1;0.0;30.2;30.2;20;False;10.2;151.0;JCO;;;0.5;0.0;0.5;0.17
83;83-B2-B2E;B2E;2025-04-22;ARMADO TABIQUES 2;0.0;52.07;82.27;20;False;32.07;260.33;CA;;;0.87;0.0;1.37;0.53
83;83-B2-B2E;B2E;2025-04-22;ARMADO TABIQUES 3;0.0;24.3;106.57;20;False;4.3;121.5;JCO;;;0.4;0.0;1.78;0.07
83;83-B2-B2E;B2E;2025-04-22;ARMADO TABIQUES 4;0.0;31.27;137.83;20;False;11.27;156.33;CA;;;0.52;0.0;2.3;0.19
83;83-B2-B2E;B2E;2025-04-22;ARMADO JAULAS;0.0;38.55;176.38;60;True;-21.45;64.25;SN;DS;;0.64;0.0;2.94;-0.36
83;83-B2-B2E;B2E;2025-04-22;REVESTIMIENTO DE MUROS;0.0;37.3;213.68;60;True;-22.7;62.17;SN;;;0.62;0.0;3.56;-0.38
83;83-B2-B2E;B2E;2025-04-22;CANALIZACIÓN ELÉCTRICA;0.0;46.8;260.48;60;True;-13.2;78.0;MC;;;0.78;0.0;4.34;-0.22
83;83-B2-B2E;B2E;2025-04-22;RED AGUA POTABLE;0.0;80.87;341.35;60;False;20.87;134.78;JC;;;1.35;0.0;5.69;0.35
83;83-B2-B2E;B2E;2025-04-22;TRATAMIENTO UNIONES;0.0;30.3;371.65;60;True;-29.7;50.5;JA;;;0.5;0.0;6.19;-0.5
83;83-B2-B2E;B2E;2025-04-22;REFUERZOS;0.0;100.05;471.7;60;False;40.05;166.75;JCO;;;1.67;0.0;7.86;0.67
83;83-B2-B2E;B2E;2025-04-22;PAVIMENTO SPC;0.0;46.15;517.85;60;True;-13.85;76.92;DS;;;0.77;0.0;8.63;-0.23
83;83-B2-B2E;B2E;2025-04-23;INSTALACIÖN DE TINA/RECEPTÁCULO;0.0;24.7;542.55;60;True;-35.3;41.17;SN;;;0.41;0.0;9.04;-0.59
83;83-B2-B2E;B2E;2025-04-23;CERÁMICA LADO PUERTA;0.0;74.0;616.55;60;False;14.0;123.33;DS;;;1.23;0.0;10.28;0.23
83;83-B2-B2E;B2E;2025-04-23;CERÁMICA LADO TINA/RECEPTÁCULO;0.0;66.35;682.9;60;False;6.35;110.58;DS;;;1.11;0.0;11.38;0.11
83;83-B2-B2E;B2E;2025-04-23;CERÁMICA LADO WC;0.0;98.17;781.07;60;False;38.17;163.61;CA;;;1.64;0.0;13.02;0.64
83;83-B2-B2E;B2E;2025-04-23;MURO SPC;0.0;34.7;815.77;60;True;-25.3;57.83;SN;;;0.58;0.0;13.6;-0.42
83;83-B2-B2E;B2E;2025-04-24;FRAGÜE;24.58;73.57;889.33;60;False;13.57;122.61;PH;;;1.23;0.41;14.82;0.23
83;83-B2-B2E;B2E;2025-04-24;RED ALC + PRUEBA;22.0;72.42;961.75;60;False;12.42;120.69;JC;;;1.21;0.37;16.03;0.21
83;83-B2-B2E;B2E;2025-04-24;MONTAJE DE CIELO;0.0;20.47;982.22;60;True;-39.53;34.11;CA;;;0.34;0.0;16.37;-0.66
83;83-B2-B2E;B2E;2025-04-24;CANALIZACIÓN ELÉCTRICA CIELO Y ALAMBRADO;0.0;70.28;1052.5;60;False;10.28;117.14;MC;;;1.17;0.0;17.54;0.17
83;83-B2-B2E;B2E;2025-04-24;CENEFA Y CORNISAS;0.0;50.05;1102.55;60;True;-9.95;83.42;SN;CA;;0.83;0.0;18.38;-0.17
83;83-B2-B2E;B2E;2025-04-24;ACCESORIOS ELÉCTRICOS;0.0;22.8;1125.35;60;True;-37.2;38.0;MC;;;0.38;0.0;18.76;-0.62
83;83-B2-B2E;B2E;2025-04-24;PUERTA Y CERRADURA;0.0;59.58;1184.93;60;True;-0.42;99.31;AF;;;0.99;0.0;19.75;-0.01
83;83-B2-B2E;B2E;2025-04-24;AISLACIÓN EXTERIOR;0.0;70.52;1255.45;60;False;10.52;117.53;DS;;;1.18;0.0;20.92;0.18
83;83-B2-B2E;B2E;2025-04-24;ZÓCALOS Y FALDÓN;0.0;43.38;1298.83;60;True;-16.62;72.31;SN;;;0.72;0.0;21.65;-0.28
83;83-B2-B2E;B2E;2025-04-25;PILASTRAS + TOPE + ÁNGULO;0.0;28.42;1327.25;60;True;-31.58;47.36;RH;;;0.47;0.0;22.12;-0.53
83;83-B2-B2E;B2E;2025-04-25;REV. EXTERIOR + SALIDA SVC;0.0;75.08;1402.33;60;False;15.08;125.14;DS;CA;;1.25;0.0;23.37;0.25
83;83-B2-B2E;B2E;2025-04-25;ARTEFACTOS SANITARIOS;20.0;57.4;1459.73;60;True;-2.6;95.67;JC;;;0.96;0.33;24.33;-0.04
83;83-B2-B2E;B2E;2025-04-25;ACCESORIOS DE BAÑO;0.0;8.6;1468.33;30;True;-21.4;28.67;PH;;;0.14;0.0;24.47;-0.36
83;83-B2-B2E;B2E;2025-04-25;ARTEFACTOS ELÉCTRICOS;0.0;46.37;1514.7;30;False;16.37;154.56;MC;;;0.77;0.0;25.24;0.27
83;83-B2-B2E;B2E;2025-04-25;TERCIADO CIELO;0.0;48.85;1563.55;30;False;18.85;162.83;SN;;;0.81;0.0;26.06;0.31
83;83-B2-B2E;B2E;2025-04-25;FUNCIONALIDAD;0.0;56.52;1620.07;40;False;16.52;141.29;JC;;;0.94;0.0;27.0;0.28
83;83-B2-B2E;B2E;2025-04-25;INST. MAMPARA;0.0;65.33;1685.4;60;False;5.33;108.89;RH;;;1.09;0.0;28.09;0.09
83;83-B2-B2E;B2E;2025-04-25;ASEO;0.0;83.75;1769.15;60;False;23.75;139.58;PH;;;1.4;0.0;29.49;0.4
83;83-B2-B2E;B2E;2025-04-29;SELLO EXTERIOR + ESPUMA;0.0;47.58;1816.73;40;False;7.58;118.96;JA;;;0.79;0.0;30.28;0.13
83;83-B2-B2E;B2E;2025-04-30;SELLOS;0.0;107.53;1924.27;60;False;47.53;179.22;PH;;;1.79;0.0;32.07;0.79
84;84-B2-B4;B4;2025-04-28;ARMADO TABIQUES 1;0.0;57.47;57.47;20;False;37.47;287.33;JCO;;;0.96;0.0;0.96;0.62
84;84-B2-B4;B4;2025-04-28;ARMADO TABIQUES 2;0.0;32.02;89.48;20;False;12.02;160.08;CA;;;0.53;0.0;1.49;0.2
84;84-B2-B4;B4;2025-04-28;ARMADO TABIQUES 3;0.0;10.2;99.68;20;True;-9.8;51.0;CA;;;0.17;0.0;1.66;-0.16
84;84-B2-B4;B4;2025-04-28;ARMADO TABIQUES 4;0.0;19.43;119.12;20;True;-0.57;97.17;JCO;;;0.32;0.0;1.99;-0.01
84;84-B2-B4;B4;2025-04-28;ARMADO TABIQUES 5;21.0;10.43;129.55;20;True;-9.57;52.17;CA;;;0.17;0.35;2.16;-0.16
84;84-B2-B4;B4;2025-04-28;ARMADO TABIQUES 6;0.0;23.13;152.68;20;False;3.13;115.67;JCO;;;0.39;0.0;2.54;0.05
84;84-B2-B4;B4;2025-04-28;ARMADO JAULAS;0.0;55.75;208.43;60;True;-4.25;92.92;SN;;;0.93;0.0;3.47;-0.07
84;84-B2-B4;B4;2025-04-28;REVESTIMIENTO DE MUROS;20.0;56.12;264.55;60;True;-3.88;93.53;SN;;;0.94;0.33;4.41;-0.06
84;84-B2-B4;B4;2025-04-29;CANALIZACIÓN ELÉCTRICA;0.0;65.42;329.97;60;False;5.42;109.03;MC;;;1.09;0.0;5.5;0.09
84;84-B2-B4;B4;2025-04-29;RED AGUA POTABLE;0.0;86.8;416.77;60;False;26.8;144.67;JC;;;1.45;0.0;6.95;0.45
84;84-B2-B4;B4;2025-04-29;REFUERZOS;0.0;32.68;449.45;60;True;-27.32;54.47;JCO;RH;;0.54;0.0;7.49;-0.46
84;84-B2-B4;B4;2025-04-30;TRATAMIENTO UNIONES;0.0;34.23;483.68;60;True;-25.77;57.06;JA;;;0.57;0.0;8.06;-0.43
84;84-B2-B4;B4;2025-04-30;PAVIMENTO SPC;0.0;32.47;516.15;60;True;-27.53;54.11;SN;;;0.54;0.0;8.6;-0.46
84;84-B2-B4;B4;2025-04-30;INSTALACIÖN DE TINA/RECEPTÁCULO;0.0;84.0;600.15;60;False;24.0;140.0;AF;;;1.4;0.0;10.0;0.4
84;84-B2-B4;B4;2025-04-30;CERÁMICA LADO TINA/RECEPTÁCULO;0.0;37.83;637.98;60;True;-22.17;63.06;DS;MC;;0.63;0.0;10.63;-0.37
84;84-B2-B4;B4;2025-05-02;CERÁMICA LADO PUERTA;0.0;67.72;705.7;60;False;7.72;112.86;DS;MC;;1.13;0.0;11.76;0.13
84;84-B2-B4;B4;2025-05-02;CERÁMICA LADO WC;0.0;98.0;803.7;60;False;38.0;163.33;CA;PH;;1.63;0.0;13.4;0.63
84;84-B2-B4;B4;2025-05-02;MURO SPC;0.0;58.85;862.55;60;True;-1.15;98.08;SN;CA;;0.98;0.0;14.38;-0.02
84;84-B2-B4;B4;2025-05-02;MONTAJE DE CIELO;0.0;26.77;889.32;60;True;-33.23;44.61;JCO;;;0.45;0.0;14.82;-0.55
84;84-B2-B4;B4;2025-05-02;FRAGÜE;0.0;50.65;939.97;60;True;-9.35;84.42;DS;PH;;0.84;0.0;15.67;-0.16
84;84-B2-B4;B4;2025-05-02;RED ALC + PRUEBA;0.0;50.72;990.68;60;True;-9.28;84.53;JC;;;0.85;0.0;16.51;-0.15
84;84-B2-B4;B4;2025-05-06;CANALIZACIÓN ELÉCTRICA CIELO Y ALAMBRADO;0.0;125.72;1116.4;60;False;65.72;209.53;MC;;;2.1;0.0;18.61;1.1
84;84-B2-B4;B4;2025-05-06;CENEFA Y CORNISAS;0.0;24.38;1140.78;60;True;-35.62;40.64;RH;AF;;0.41;0.0;19.01;-0.59
84;84-B2-B4;B4;2025-05-06;ACCESORIOS ELÉCTRICOS;0.0;28.98;1169.77;60;True;-31.02;48.31;MC;;;0.48;0.0;19.5;-0.52
84;84-B2-B4;B4;2025-05-06;AISLACIÓN EXTERIOR;0.0;56.08;1225.85;60;True;-3.92;93.47;DS;;;0.93;0.0;20.43;-0.07
84;84-B2-B4;B4;2025-05-06;ZÓCALOS Y FALDÓN;53.0;40.02;1265.87;60;True;-19.98;66.69;SN;;;0.67;0.88;21.1;-0.33
84;84-B2-B4;B4;2025-05-06;REV. EXTERIOR + SALIDA SVC;0.0;112.85;1378.72;60;False;52.85;188.08;DS;JC;;1.88;0.0;22.98;0.88
